==============================================================================
==============================================================================
 Aug. 22 2020                  LANDSAT 5                       Time: 12:50
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: L2                          Path / Row - 227 / 65
Reference Image: terrain_HDF.l1g

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2270650092   -6.34789    -55.90221    -0.13     -0.08     0.15     1 
2270650164   -6.37303    -55.98759     0.06     -0.02     0.06     1 
2270650169   -6.37273    -55.84520     0.03     -0.07     0.08     1 
2270650173   -6.37246    -55.73129    -0.04     -0.00     0.04     1 
2270650174   -6.37239    -55.70282     0.04      0.03     0.05     1 
2270650175   -6.37232    -55.67434     0.01      0.08     0.08     1 
2270650176   -6.37224    -55.64587     0.07      0.05     0.09     1 
2270650240   -6.39794    -55.95906     0.15     -0.04     0.15     1 
2270650243   -6.39775    -55.87362     0.07     -0.04     0.08     1 
2270650244   -6.39769    -55.84515    -0.00     -0.08     0.08     1 
2270650248   -6.39742    -55.73123    -0.01      0.02     0.02     1 
2270650249   -6.39735    -55.70276    -0.00      0.07     0.07     1 
2270650252   -6.39713    -55.61733    -0.03     -0.10     0.10     1 
2270650316   -6.42284    -55.93053     0.01      0.01     0.01     1 
2270650317   -6.42278    -55.90205     0.02     -0.03     0.04     1 
2270650318   -6.42272    -55.87357     0.02     -0.03     0.04     1 
2270650320   -6.42259    -55.81661     0.06     -0.01     0.06     1 
2270650323   -6.42238    -55.73117    -0.04     -0.01     0.04     1 
2270650393   -6.44768    -55.87351    -0.00     -0.01     0.01     1 
2270650395   -6.44755    -55.81655     0.16      0.04     0.17     1 
2270650404   -6.44689    -55.56023    -0.18     -0.02     0.18     1 
2270650417   -6.44571    -55.19005     0.12      0.05     0.13     1 
2270650464   -6.47288    -55.98739     0.05     -0.10     0.11     1 
2270650465   -6.47283    -55.95891     0.05      0.02     0.05     1 
2270650467   -6.47271    -55.90194     0.09     -0.01     0.09     1 
2270650473   -6.47231    -55.73105     0.05      0.01     0.05     1 
2270650483   -6.47152    -55.44625     0.05      0.03     0.05     1 
2270650540   -6.49779    -55.95886     0.10      0.09     0.13     1 
2270650560   -6.49630    -55.38921     0.01      0.00     0.01     1 
2270650563   -6.49602    -55.30378    -0.01     -0.01     0.01     1 
2270650572   -6.49509    -55.04750     0.02      0.02     0.03     1 
2270650617   -6.52263    -55.90183    -0.11      0.07     0.13     1 
2270650645   -6.52026    -55.10435    -0.01     -0.01     0.01     1 
2270650653   -6.51936    -54.87657    -0.01      0.03     0.04     1 
2270650654   -6.51924    -54.84810     0.03      0.06     0.07     1 
2270650715   -6.54573    -55.24665     0.04      0.09     0.10     1 
2270650728   -6.54430    -54.87646     0.03      0.01     0.03     1 
2270650729   -6.54418    -54.84799    -0.03     -0.05     0.06     1 
2270650730   -6.54406    -54.81952     0.06      0.03     0.07     1 
2270650734   -6.54355    -54.70563     0.00     -0.02     0.02     1 
2270650735   -6.54342    -54.67716     0.04      0.03     0.05     1 
2270650736   -6.54329    -54.64869     0.02     -0.01     0.02     1 
2270650739   -6.54288    -54.56329     0.02      0.01     0.03     1 
2270650740   -6.54275    -54.53482     0.08      0.05     0.09     1 
2270650741   -6.54261    -54.50636     0.01      0.03     0.03     1 
2270650742   -6.54246    -54.47789     0.03      0.02     0.03     1 
2270650790   -6.57069    -55.24656     0.02      0.02     0.03     1 
2270650794   -6.57028    -55.13264     0.05      0.04     0.07     1 
2270650803   -6.56926    -54.87635     0.05     -0.01     0.05     1 
2270650809   -6.56850    -54.70552    -0.01     -0.03     0.03     1 
2270650810   -6.56837    -54.67705     0.00     -0.01     0.01     1 
2270650812   -6.56810    -54.62011     0.02     -0.01     0.03     1 
2270650813   -6.56797    -54.59164     0.05      0.01     0.05     1 
2270650814   -6.56783    -54.56317     0.03      0.01     0.04     1 
